Year,"Country of origin","Country of asylum",Authority,"Stage of procedure","Cases / Persons","Recognized decisions","Complementary protection","Rejected decisions","Otherwise closed","Total decisions"
2019,"Unknown ",Greece,G,AR,P,2641,277,7739,3575,14232
2018,Bangladesh,Italy,G,FI,P,159,2670,7710,0,10539
2014,Nigeria,"South Africa",G,FI,P,0,0,7710,5,7715
2018,Iraq,Germany,G,JR,P,644,1078,7587,6865,16174
2023,Bangladesh,Italy,G,FI,P,130,48,7520,808,8506
2023,Georgia,France,G,FI,P,211,360,7467,112,8150
2016,Ethiopia,"South Africa",G,FI,P,323,0,7460,0,7783
2022,Bangladesh,France,G,FI,P,351,115,7449,5,7920
2018,Iraq,Germany,G,NA,P,4249,2022,7364,4273,17908
2016,Pakistan,Italy,G,FI,P,461,3829,7332,0,11622
2018,Pakistan,Italy,G,FI,P,437,2000,7320,38,9795
2019,"Venezuela (Bolivarian Republic of)","United States of America",G,IN,C,3824,0,7316,1015,12155
2022,Georgia,France,G,FI,P,163,214,7261,129,7767
2014,"Dem. Rep. of the Congo","South Africa",G,FI,P,2321,0,7245,12,9578
2019,Albania,France,G,FI,P,114,304,7166,147,7731
2016,"Serbia and Kosovo: S/RES/1244 (1999)",Germany,G,JR,P,5,173,7083,9254,16515
2018,"El Salvador","United States of America",G,EO,P,1797,0,7079,3145,12021
2019,Georgia,France,G,FI,P,101,118,7058,101,7378
2019,Mexico,"United States of America",G,EO,P,916,0,6980,2607,10503
2022,Haiti,Mexico,G,FI,P,1067,604,6934,7578,16183
2021,Nigeria,France,G,FI,P,259,22,6870,31,7182
2017,Armenia,Germany,G,NA,P,183,623,6839,1553,9198
2022,Bangladesh,Italy,G,FI,P,123,59,6821,0,7003
2022,Türkiye,France,G,FI,P,1160,42,6803,17,8022
2021,"Unknown ",Japan,G,AR,P,0,0,6732,670,7402
2022,Iraq,Türkiye,G,FI,P,3103,0,6662,17164,26929
2014,Bangladesh,"South Africa",G,FI,P,0,0,6656,11,6667
2019,Malaysia,Australia,G,FI,P,42,0,6639,549,7230
2023,Albania,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,785,165,6630,10383,17963
2017,Türkiye,Germany,G,NA,P,3260,233,6602,1654,11749
2015,Nigeria,"South Africa",G,FI,P,0,0,6592,0,6592
2022,Albania,France,G,FI,P,155,543,6502,129,7329
2022,Pakistan,Italy,G,FI,P,361,846,6455,18,7680
2020,Guatemala,"United States of America",G,EO,P,1026,0,6362,2051,9439
2020,Iraq,Germany,G,JR,P,572,1869,6287,5932,14660
2023,Iraq,Germany,G,FI,P,2070,955,6268,2137,11430
2017,"Serbia and Kosovo: S/RES/1244 (1999)",Germany,G,NA,P,5,122,6255,1113,7495
2017,Haiti,France,G,FI,P,70,106,6225,29,6430
2018,Afghanistan,Germany,G,NA,P,1994,4130,6143,3229,15496
2017,Pakistan,Italy,G,FI,P,337,2438,6140,1574,10489
2024,Bangladesh,Italy,G,FI,P,97,61,6096,616,6870
2022,Tunisia,Austria,G,FA,P,0,5,6065,4809,10879
2023,Afghanistan,France,G,FI,P,11880,1616,5985,136,19617
2023,"Dem. Rep. of the Congo",France,G,FI,P,1861,513,5963,10,8347
2022,Bangladesh,France,G,AR,P,512,254,5958,10,6734
2017,Albania,Germany,G,NA,P,10,119,5955,997,7081
2021,"Cote d'Ivoire",France,G,FI,P,1762,158,5948,48,7916
2021,Iraq,Türkiye,G,FI,P,5213,0,5934,12198,23345
2018,"Venezuela (Bolivarian Republic of)",Ecuador,G,FA,P,10,0,5905,5,5920
2020,Pakistan,Greece,G,AR,P,18,5,5898,784,6705
2020,"El Salvador","United States of America",G,EO,P,1226,0,5888,1468,8582
2016,"Dem. Rep. of the Congo","South Africa",G,FI,P,1130,0,5875,0,7005
2016,Gambia,Italy,G,FI,P,224,2591,5866,0,8681
2022,Rwanda,Uganda,G,FI,P,3323,0,5827,0,9150
2018,Pakistan,Greece,G,FI,P,148,10,5826,1162,7146
2021,Guinea,France,G,FI,P,2189,144,5823,25,8181
2015,Mali,Italy,G,FI,P,61,2723,5814,0,8598
2017,Gambia,Germany,G,NA,P,216,230,5806,3064,9316
2023,Morocco,Austria,G,FA,P,10,5,5773,2626,8414
2018,Albania,France,G,FI,P,74,453,5742,67,6336
2015,Gambia,Italy,G,FI,P,247,2749,5730,0,8726
2017,Ethiopia,Germany,G,NA,P,1055,817,5721,907,8500
2018,Nigeria,Germany,G,NA,P,752,945,5672,4595,11964
2023,Iraq,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,3194,932,5646,853,10625
2017,Pakistan,Greece,G,FI,P,111,16,5613,705,6445
2019,Iraq,Germany,G,NA,P,4558,1452,5533,4225,15768
2020,Afghanistan,Germany,G,JR,P,1201,7086,5518,7363,21168
2018,"Venezuela (Bolivarian Republic of)","United States of America",G,IN,C,4290,0,5507,974,10771
2020,Honduras,"United States of America",G,EO,P,700,0,5502,1784,7986
2020,Afghanistan,Greece,G,FI,P,4606,6164,5494,3647,19911
2022,Türkiye,Germany,G,FI,P,2766,94,5488,1784,10132
2018,Guatemala,"United States of America",G,EO,P,983,0,5483,2655,9121
2021,Türkiye,France,G,FI,P,843,38,5479,27,6387
2023,Pakistan,Italy,G,FI,P,292,725,5477,1153,7647
2016,"Russian Federation",Germany,G,NA,P,325,248,5459,5034,11066
2019,Guinea,France,G,FI,P,910,124,5452,22,6508
2018,Myanmar,Malaysia,U,FI,P,19592,0,5429,3129,28150
2018,Honduras,"United States of America",G,EO,P,1109,0,5424,2427,8960
2020,"Syrian Arab Rep.",Germany,G,JR,P,873,854,5398,8361,15486
2016,Albania,Germany,G,JR,P,0,126,5350,7027,12503
2020,Afghanistan,Türkiye,G,FI,P,3249,0,5348,8432,17029
2019,Nigeria,Germany,G,NA,P,429,437,5337,5650,11853
2019,Senegal,Italy,G,FI,P,213,134,5327,5,5679
2019,Afghanistan,Sweden,G,AR,P,364,107,5312,420,6203
2022,Guatemala,"United States of America",G,EO,P,2241,0,5304,20159,27704
2022,Honduras,"United States of America",G,EO,P,1736,0,5286,15300,22322
2020,"Unknown ",Japan,G,AR,P,0,0,5271,1203,6474
2017,Iraq,Sweden,G,FI,P,1909,1389,5264,990,9552
2022,Afghanistan,France,G,FI,P,11610,73,5235,149,17067
2019,"Venezuela (Bolivarian Republic of)",Ecuador,G,FA,P,369,0,5203,1721,7293
2022,"El Salvador","United States of America",G,EO,P,2752,0,5195,20377,28324
2020,Honduras,Spain,G,FI,P,687,15,5180,0,5882
2022,Georgia,Germany,G,FI,P,5,17,5172,820,6014
2019,"Iran (Islamic Rep. of)",Germany,G,NA,P,1753,158,5161,2200,9272
2014,Ethiopia,"South Africa",G,FI,P,3042,0,5143,0,8185
2018,Senegal,Italy,G,FI,P,111,1366,5063,0,6540
2023,Iraq,Türkiye,G,FI,P,2604,0,5026,21773,29403
2018,"Iran (Islamic Rep. of)",Germany,G,NA,P,2315,226,5023,2841,10405
2020,Pakistan,Italy,G,FI,P,298,772,4996,36,6102
2015,"North Macedonia",Germany,G,NA,P,22,11,4967,671,5671
2016,Senegal,Italy,G,FI,P,79,1646,4900,0,6625
2019,Guatemala,"United States of America",G,IN,C,1358,0,4877,2202,8437
2021,Pakistan,Italy,G,FI,P,411,2075,4872,5,7363
2022,"Cote d'Ivoire",France,G,FI,P,1651,171,4856,49,6727
2016,"Unknown ",Greece,G,AR,P,522,5032,4838,3797,14189
2023,Afghanistan,Türkiye,G,FI,P,5144,0,4826,30496,40466
2024,Türkiye,France,G,FI,P,808,115,4814,47,5784
2017,Afghanistan,Sweden,G,AR,P,290,365,4814,929,6398
2018,Mexico,"United States of America",G,EO,P,624,0,4808,3192,8624
2023,Türkiye,France,G,AR,P,1345,72,4793,1348,7558
2023,Ethiopia,"South Africa",G,FA,P,55,0,4770,0,4825
2022,Nigeria,Italy,G,FI,P,748,262,4757,48,5815
2017,Iraq,Germany,G,JR,P,499,431,4701,4422,10053
2014,"North Macedonia",Germany,G,NA,P,0,13,4694,903,5610
2018,Gambia,Italy,G,FI,P,137,2181,4654,0,6972
2021,Iraq,Germany,G,JR,P,456,1540,4618,5184,11798
2016,Bangladesh,Italy,G,FI,P,100,1510,4616,0,6226
2020,Bangladesh,France,G,FI,P,224,50,4607,43,4924
2020,Guinea,France,G,FI,P,1295,111,4598,25,6029
2017,Afghanistan,Germany,G,JR,P,1018,6220,4589,7599,19426
2020,Nigeria,Italy,G,FI,P,1317,614,4573,11,6515
2018,Afghanistan,Sweden,G,FI,P,1286,714,4549,185,6734
2021,"Dem. Rep. of the Congo",France,G,FI,P,1228,181,4473,16,5898
2023,Honduras,"United States of America",G,EO,P,1963,0,4442,23204,29609
2015,Pakistan,Italy,G,FI,P,433,3063,4423,0,7919
2023,"Cote d'Ivoire",France,G,FI,P,1630,203,4418,67,6318
2015,"Dem. Rep. of the Congo","South Africa",G,FI,P,614,0,4417,0,5031
2021,Pakistan,France,G,FI,P,171,55,4370,20,4616
2021,Nigeria,Italy,G,FI,P,1086,1177,4353,5,6621
2024,Pakistan,Italy,G,FI,P,178,462,4347,834,5821
2019,Pakistan,Greece,G,FI,P,106,12,4342,1724,6184
2021,Peru,Spain,G,FI,P,123,23,4330,0,4476
2020,China,Australia,G,FI,P,93,0,4322,226,4641
2017,"Dem. Rep. of the Congo","South Africa",G,FI,P,970,0,4297,0,5267
2017,"Unknown ",Germany,G,NA,P,3024,3711,4284,2061,13080
2017,"El Salvador","United States of America",G,EO,P,1439,0,4278,2756,8473
2019,Türkiye,Germany,G,NA,P,4809,62,4251,658,9780
2022,"Venezuela (Bolivarian Republic of)","United States of America",G,IN,P,2220,0,4247,3618,10085
2015,"Dem. Rep. of the Congo",France,G,FI,P,465,68,4241,0,4774
2022,Nigeria,France,G,FI,P,401,46,4238,15,4700
2021,Iraq,Germany,G,FI,P,2405,946,4234,1875,9460
2022,India,Austria,G,FA,P,0,0,4233,8216,12449
2020,Iraq,Türkiye,G,FI,P,3887,0,4196,12976,21059
2017,"El Salvador","United States of America",G,IN,C,2166,0,4183,1900,8249
2017,Azerbaijan,Germany,G,NA,P,595,341,4178,1609,6723
2022,Nigeria,France,G,AR,P,836,146,4161,29,5172
2020,Nigeria,Germany,G,JR,P,73,625,4161,5823,10682
2024,Bangladesh,France,G,FI,P,257,84,4159,5,4505
2018,Pakistan,Germany,G,JR,P,561,109,4157,3080,7907
2023,Egypt,Italy,G,FI,P,59,17,4131,1900,6107
2018,China,"United States of America",G,IN,C,3041,0,4125,2267,9433
2021,Honduras,Spain,G,FI,P,554,12,4124,0,4690
2023,Guinea,France,G,FI,P,1813,123,4122,33,6091
2021,Afghanistan,France,G,FI,P,4611,7625,4108,73,16417
2017,Georgia,Germany,G,NA,P,17,98,4095,1343,5553
2018,Türkiye,Germany,G,NA,P,3644,92,4090,793,8619
2015,Bangladesh,"South Africa",G,FI,P,0,0,4084,0,4084
2017,Ukraine,Germany,G,NA,P,109,186,4071,1046,5412
2020,Pakistan,Greece,G,FI,P,99,10,4060,1344,5513
2023,Iraq,Germany,G,JR,P,248,705,4048,5581,10582
2016,Afghanistan,Sweden,G,FI,P,1352,2013,4031,4394,11790
2018,Georgia,Germany,G,NA,P,10,50,4021,491,4572
2021,Bangladesh,France,G,AR,P,666,330,4018,3136,8150
2021,China,Australia,G,FI,P,102,0,3995,0,4097
2022,"Dem. Rep. of the Congo",France,G,FI,P,1334,209,3984,10,5537
2021,"Syrian Arab Rep.",Germany,G,JR,P,1329,319,3975,7979,13602
2019,Gambia,Italy,G,FI,P,280,138,3972,5,4395
2018,"Cote d'Ivoire",Italy,G,FI,P,236,1085,3952,5,5278
2022,Iraq,Germany,G,JR,P,280,1149,3939,4815,10183
2020,"El Salvador",Spain,G,FI,P,408,16,3927,0,4351
2016,Haiti,France,G,FI,P,55,83,3913,0,4051
2018,Guinea,France,G,FI,P,908,177,3904,34,5023
2022,Pakistan,Austria,G,FA,P,58,0,3903,2355,6316
2016,Mali,Italy,G,FI,P,58,2942,3897,0,6897
2019,Colombia,Spain,G,FI,P,48,10,3896,0,3954
2017,Bangladesh,Italy,G,FI,P,81,1802,3894,690,6467
2014,Ukraine,"Russian Federation",G,FI,P,241,0,3886,0,4127
2019,Haiti,France,G,FI,P,163,98,3884,27,4172
2021,Comoros,France,G,FI,P,169,30,3873,21,4093
2015,Senegal,Italy,G,FI,P,89,1474,3867,0,5430
2020,Mexico,"United States of America",G,IN,C,350,0,3851,1184,5385
2020,Albania,France,G,FI,P,65,239,3847,191,4342
2019,Nigeria,Canada,G,FI,P,1698,0,3835,133,5666
2018,"Cote d'Ivoire",France,G,FI,P,741,125,3828,41,4735
2017,Gambia,Italy,G,FI,P,136,2469,3825,627,7057
2023,"El Salvador","United States of America",G,EO,P,2608,0,3819,24143,30570
2021,Nigeria,Germany,G,JR,P,75,655,3818,4435,8983
2018,Mali,Italy,G,FI,P,114,1714,3812,20,5660
2023,Morocco,Spain,G,FI,P,273,0,3787,375,4435
2015,Bangladesh,Italy,G,FI,P,102,1124,3785,0,5011
2017,Albania,France,G,AR,P,121,378,3782,45,4326
2020,"Cote d'Ivoire",France,G,FI,P,932,139,3765,51,4887
2021,Malaysia,Australia,G,FI,P,60,0,3747,0,3807
2022,"Syrian Arab Rep.",Germany,G,JR,P,850,157,3742,8521,13270
2023,Afghanistan,Belgium,G,FI,P,2594,0,3740,171,6505
2018,"Russian Federation",Germany,G,NA,P,548,199,3737,1818,6302
2019,Bangladesh,"South Africa",G,FI,P,0,0,3730,0,3730
2021,"Venezuela (Bolivarian Republic of)","United States of America",G,IN,P,1507,0,3716,1945,7168
2023,Albania,France,G,FI,P,90,417,3707,104,4318
2014,"Dem. Rep. of the Congo",France,G,FI,P,379,36,3706,0,4121
2016,"Iran (Islamic Rep. of)",Germany,G,NA,P,5288,364,3700,1671,11023
2017,Senegal,Italy,G,FI,P,79,1387,3700,757,5923
2019,China,"United States of America",G,IN,C,3310,0,3685,1161,8156
2023,Guatemala,"United States of America",G,EO,P,2158,0,3680,24981,30819
2022,Guinea,France,G,FI,P,1727,119,3677,31,5554
2020,Malaysia,Australia,G,FI,P,44,0,3671,237,3952
2016,"Bosnia and Herzegovina",Germany,G,NA,P,5,41,3658,884,4588
2017,Bangladesh,"South Africa",G,FI,P,0,0,3644,0,3644
2023,China,Australia,G,FI,P,317,0,3637,1501,5455
2016,India,Germany,G,NA,P,27,41,3636,932,4636
2014,"Serbia and Kosovo: S/RES/1244 (1999)",France,G,FI,P,179,106,3632,0,3917
2014,"Bosnia and Herzegovina",Germany,G,NA,P,0,12,3625,850,4487
2017,Guatemala,"United States of America",G,IN,C,2148,0,3625,2884,8657
2021,"Unknown ",Japan,G,FI,P,0,0,3616,1889,5505
2020,Peru,Spain,G,FI,P,96,17,3604,0,3717
2022,Egypt,Italy,G,FI,P,56,15,3596,0,3667
2021,Haiti,France,G,FI,P,351,358,3594,5,4308
2021,Haiti,Mexico,G,FI,P,1285,667,3585,2594,8131
2018,Georgia,France,G,FI,P,68,104,3579,59,3810
2023,Bangladesh,"South Africa",G,FA,P,0,0,3558,0,3558
2017,"Serbia and Kosovo: S/RES/1244 (1999)",Germany,G,JR,P,10,167,3555,5143,8875
2019,"El Salvador","United States of America",G,IN,C,1121,0,3549,1299,5969
2022,Morocco,Spain,G,FI,P,231,5,3541,167,3944
2014,"Serbia and Kosovo: S/RES/1244 (1999)",Hungary,G,FI,P,0,0,3537,7613,11150
2016,China,Australia,G,AR,P,44,0,3535,51,3630
2019,Nigeria,Germany,G,JR,P,78,459,3532,6636,10705
2018,Myanmar,Malaysia,U,AR,P,5,0,3524,0,3529
2022,Ecuador,"United States of America",G,EO,P,1041,0,3516,2435,6992
2019,Ukraine,Italy,G,FI,P,105,387,3515,0,4007
2017,Bangladesh,France,G,FI,P,152,102,3514,5,3773
2019,Ethiopia,"South Africa",G,FI,P,356,0,3506,5,3867
2022,Türkiye,France,G,AR,P,1206,30,3504,27,4767
2016,Bangladesh,France,G,FI,P,186,81,3486,0,3753
2014,Albania,France,G,FI,P,67,277,3479,0,3823
2018,Guinea,Italy,G,FI,P,129,1199,3472,5,4805
2014,Bangladesh,France,G,FI,P,193,10,3458,0,3661
2016,Afghanistan,Finland,G,FI,P,449,490,3448,765,5152
2019,Bangladesh,France,G,FI,P,182,79,3437,10,3708
2020,"Unknown ",Japan,G,FI,P,0,44,3433,1916,5393
2020,Mexico,"United States of America",G,EO,P,469,0,3427,1450,5346
2023,"Syrian Arab Rep.",Germany,G,JR,P,485,88,3419,10226,14218
2014,Bangladesh,France,G,AR,P,374,28,3417,1308,5127
2017,"Dem. Rep. of the Congo",Uganda,G,FA,P,36552,0,3417,0,39969
2024,Egypt,Italy,G,FI,P,33,11,3407,996,4447
2017,"North Macedonia",Germany,G,NA,P,5,35,3378,508,3926
2022,China,Australia,G,FI,P,250,0,3355,0,3605
2016,Sudan,France,G,FI,P,2115,341,3354,0,5810
2018,Bangladesh,France,G,FI,P,146,109,3352,5,3612
2019,Pakistan,Germany,G,JR,P,698,98,3350,2263,6409
2019,Mali,Italy,G,FI,P,167,672,3346,17,4202
2015,"Unknown ",Greece,G,AR,P,1021,350,3344,1777,6492
2017,Ethiopia,"South Africa",G,FI,P,356,0,3341,0,3697
2017,China,"United States of America",G,IN,C,2780,0,3339,2141,8260
2024,Malaysia,Australia,G,AR,P,371,0,3336,451,4158
2021,Rwanda,Uganda,G,FI,P,1171,0,3331,0,4502
2017,Honduras,"United States of America",G,EO,P,996,0,3322,1917,6235
2018,Haiti,France,G,FI,P,59,60,3297,23,3439
2021,Guinea,France,G,AR,P,1016,192,3283,1770,6261
2019,"Cote d'Ivoire",Italy,G,FI,P,344,141,3257,5,3747
2023,Nigeria,Italy,G,FI,P,675,282,3230,373,4560
2017,Zimbabwe,"South Africa",G,FI,P,12,0,3230,0,3242
2023,"Dem. Rep. of the Congo","South Africa",G,FA,P,96,0,3229,0,3325
2021,Mexico,"United States of America",G,IN,P,305,0,3226,1525,5056
2021,Ukraine,France,G,FI,P,63,57,3224,21,3365
2017,Mexico,"United States of America",G,EO,P,573,0,3221,2667,6461
2019,Mali,France,G,FI,P,328,20,3207,33,3588
2017,Guinea,Germany,G,NA,P,589,611,3204,2826,7230
2022,"Cote d'Ivoire",France,G,AR,P,858,226,3203,48,4335
2014,Afghanistan,Pakistan,U,FI,P,1833,0,3202,248,5283
2023,Peru,Spain,G,FI,P,88,192,3197,151,3628
2022,Morocco,Austria,G,FA,P,14,0,3196,1425,4635
2020,Guinea,France,G,AR,P,823,143,3195,24,4185
2022,India,Canada,G,FI,P,2918,0,3191,442,6551
2016,"Serbia and Kosovo: S/RES/1244 (1999)",Germany,G,RA,P,0,43,3190,9567,12800
2022,Pakistan,France,G,FI,P,184,49,3159,17,3409
2016,Algeria,Germany,G,NA,P,41,97,3154,1712,5004
2018,"Serbia and Kosovo: S/RES/1244 (1999)",France,G,FI,P,103,219,3151,78,3551
2017,Guinea,France,G,FI,P,733,121,3150,15,4019
2021,Albania,France,G,FI,P,74,288,3141,81,3584
2020,"Syrian Arab Rep.",Germany,G,NA,P,33940,92,3139,28,37199
2024,Georgia,Germany,G,FI,P,0,14,3136,287,3437
2016,Albania,France,G,FI,P,75,328,3134,0,3537
2015,"Serbia and Kosovo: S/RES/1244 (1999)",France,G,FI,P,195,101,3126,0,3422
2020,Nicaragua,Spain,G,FI,P,1117,5,3118,0,4240
2020,"Venezuela (Bolivarian Republic of)","United States of America",G,IN,C,1356,0,3118,1157,5631
2022,Guinea,France,G,AR,P,694,134,3116,33,3977
2020,Georgia,France,G,FI,P,58,82,3106,76,3322
2021,Türkiye,Germany,G,FI,P,2351,43,3099,414,5907
2016,Nigeria,"South Africa",G,FI,P,0,0,3096,0,3096
2019,Afghanistan,France,G,FI,P,495,4037,3093,41,7666
2017,"Serbia and Kosovo: S/RES/1244 (1999)",France,G,FI,P,122,166,3090,43,3421
2015,"Dem. Rep. of the Congo",France,G,AR,P,448,60,3087,263,3858
2024,Iraq,Germany,G,FI,P,823,431,3082,892,5228
2015,"Bosnia and Herzegovina",Germany,G,NA,P,0,11,3081,809,3901
2018,China,Australia,G,FI,P,107,0,3080,720,3907
2021,Guatemala,"United States of America",G,EO,P,1114,0,3078,5623,9815
2015,"Russian Federation",France,G,FI,P,437,66,3075,0,3578
2024,Afghanistan,France,G,FI,P,5172,1242,3068,98,9580
2022,Honduras,Spain,G,FI,P,613,18,3062,287,3980
2023,"North Macedonia",Germany,G,FI,P,0,0,3049,423,3472
2015,Bangladesh,France,G,FI,P,217,24,3045,0,3286
2017,Ukraine,Spain,G,FI,P,27,273,3017,82,3399
2014,Nigeria,Italy,G,FI,P,138,2008,3014,0,5160
2017,Eritrea,Uganda,G,FA,P,1557,0,3013,0,4570
2016,Morocco,Germany,G,NA,P,77,89,3004,1481,4651
2015,Pakistan,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,718,45,3002,474,4239
2017,"Dem. Rep. of the Congo",France,G,FI,P,485,103,2996,22,3606
2023,Türkiye,Germany,G,JR,P,655,102,2994,4852,8603
2018,Ghana,Italy,G,FI,P,62,933,2992,0,3987
2017,Lebanon,Germany,G,NA,P,139,334,2985,670,4128
2024,Bangladesh,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,647,29,2983,613,4272
2018,Guatemala,"United States of America",G,IN,C,1309,0,2981,3780,8070
2019,"Cote d'Ivoire",France,G,FI,P,673,131,2968,51,3823
2021,"El Salvador","United States of America",G,EO,P,1290,0,2967,4610,8867
2024,Türkiye,Germany,G,JR,P,358,54,2966,4127,7505
2021,Bangladesh,Italy,G,FI,P,89,637,2956,0,3682
2020,Haiti,France,G,FI,P,177,156,2949,61,3343
2019,Nicaragua,"Costa Rica",G,FI,P,943,0,2948,7053,10944
2023,Malaysia,Australia,G,FI,P,185,0,2942,385,3512
2018,Nigeria,Germany,G,JR,P,62,248,2935,4777,8022
2021,Georgia,France,G,FI,P,93,73,2919,35,3120
2019,"Russian Federation",Germany,G,JR,P,221,223,2915,3568,6927
2019,"Dem. Rep. of the Congo","South Africa",G,FI,P,554,0,2913,0,3467
2015,Nigeria,"South Africa",G,AR,P,0,0,2895,385,3280
2021,"Cote d'Ivoire",France,G,AR,P,670,188,2893,368,4119
2016,"Serbia and Kosovo: S/RES/1244 (1999)",France,G,FI,P,124,212,2890,0,3226
2021,"Iran (Islamic Rep. of)",Germany,G,JR,P,1696,168,2887,2496,7247
2022,Afghanistan,Türkiye,G,FI,P,4916,0,2879,17732,25527
2024,Albania,"United Kingdom of Great Britain and Northern Ireland",G,FI,P,51,49,2868,2529,5497
2019,"Cote d'Ivoire",France,G,AR,P,607,149,2866,18,3640
2018,"Dem. Rep. of the Congo",France,G,FI,P,511,104,2857,25,3497
2017,"Cote d'Ivoire",Italy,G,FI,P,197,1294,2845,1696,6032
2023,Mexico,"United States of America",G,EO,P,677,0,2845,10745,14267
2018,Senegal,Brazil,G,FI,P,0,0,2830,196,3026
2023,Nigeria,France,G,FI,P,257,45,2828,19,3149
