year,country,term,concerned-group,human-rights-theme,annotaion type
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Human rights defenders & activists', 'Disappeared persons', 'Public officials', 'Women & girls', 'Media']","[' Right to physical & moral integrity', 'Rule of law & impunity', 'Cultural rights', 'Support to victims & witnesses', 'Freedom of thought, conscience & religion', 'Enforced disappearances', 'Freedom of opinion and expression & access to information']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Vulnerable persons/groups', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","[' Right to physical & moral integrity', 'Rule of law & impunity', 'Cultural rights', 'Support to victims & witnesses', 'Freedom of thought, conscience & religion', 'Access to justice & remedy']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Women & girls'],"['Cultural rights', 'Advancement of women', ' Participation of women in political & public life\xa0', 'Discrimination against women']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Educational staff & students', 'Women & girls', 'Media']","['Cultural rights', 'Cooperation & Follow up with Treaty Bodies', 'Constitutional & legislative framework', 'Discrimination against women', ' Scope of international obligations', 'Right to education']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Women & girls'],"['Violence against women', 'Cultural rights', 'Support to victims & witnesses', 'Access to justice & remedy', 'Constitutional & legislative framework', 'Sexual & gender-based violence', 'Discrimination against women', 'Sexual & reproductive health and rights']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Women & girls'],"['Cultural rights', 'Legal & institutional reform', 'Advancement of women', 'Discrimination against women', ' Scope of international obligations']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Persons with disabilities'],"['Equality & non-discrimination', 'Cultural rights', 'Legal & institutional reform', 'Cooperation & consultation with civil society', 'Persons with disabilities: independence, inclusion']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Children', 'Older persons', 'Persons with disabilities']","['Equality & non-discrimination', 'Cultural rights', 'Persons with disabilities: accessibility, mobility']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Educational staff & students', 'Persons with disabilities']","['Cultural rights', 'Persons with disabilities: accessibility, mobility', 'Persons with disabilities: independence, inclusion', 'Right to education']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Migrants', 'Non-citizens']","['Freedom of movement', 'Rights related to name, identity & nationality', 'Cultural rights']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Migrants', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Equality & non-discrimination', 'Cultural rights', 'Labour rights and right to work', 'Racial discrimination', 'Right to health', 'Right to education']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Migrants', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Human rights & climate change']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Youth & juveniles', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Freedom of thought, conscience & religion']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Children', 'Youth & juveniles']","['Cultural rights', 'Legal & institutional reform', 'Children: family environment & alternative care']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Migrants'],"['Cultural rights', 'Labour rights and right to work', 'Trade union rights']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Human rights education, trainings & awareness raising']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Freedom of opinion and expression & access to information']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Business & Human Rights', 'Cultural rights', '2030 Agenda & other voluntary commitments']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Human rights & the environment', 'Right to food', 'Human rights & climate change']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Inter-State cooperation and assistance', 'Cultural rights', 'Human rights & climate change', 'Cooperation & Follow up with Special Procedures']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Human rights & climate change']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Youth & juveniles'],"['Cultural rights', 'Freedom of thought, conscience & religion', 'Human rights & climate change']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Human rights & the environment', 'Human rights & climate change']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Human rights & the environment', 'Human rights & climate change']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Business & Human Rights', 'Cultural rights', 'Human rights & the environment', 'Human rights & climate change']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Cooperation & consultation with civil society', ' Right to development', 'Human rights & the environment', 'Human rights & climate change', ' Human rights & toxics / hazardous wastes']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Vulnerable persons/groups'],"['Business & Human Rights', 'Cultural rights', 'Human rights & the environment', 'Human rights & climate change', 'Land & property rights']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Youth & juveniles', 'Women & girls']","['Cultural rights', 'Legal & institutional reform', 'Human rights & climate change']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', ' Right to development', 'Human rights & the environment', 'Human rights & climate change']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Inter-State cooperation and assistance', 'Cultural rights', 'Human rights & the environment', 'Human rights & climate change', 'Cooperation & Follow up with Special Procedures']",['Concerns/Observations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Freedom of association', 'Cooperation & consultation with civil society', 'Right to participate in public affairs & right to vote', 'Human rights & climate change', ' Scope of international obligations', 'Freedom of opinion and expression & access to information']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Inter-State cooperation and assistance', 'Economic, social & cultural rights - general measures of implementation', 'Cultural rights', 'Good governance & corruption', 'Human rights & climate change', 'Budget & resources (for human rights implementation)']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Human rights education, trainings & awareness raising', ' Human rights & counter-terrorism', 'Human rights & climate change', 'Right to education']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Women & girls'],"['Cultural rights', 'Human rights & the environment', 'Human rights & climate change']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Human rights defenders & activists', 'Civil society']","['Cultural rights', 'Cooperation & consultation with civil society', 'Freedom of thought, conscience & religion', 'Human rights & climate change']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Children', 'Women & girls']","['Cultural rights', 'Cooperation & Follow up with Treaty Bodies', 'Reservations', 'Children: definition; general principles; protection', ' Civil & political rights - general measures of implementation', 'Discrimination against women', ' Scope of international obligations']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Migrants'],"['Freedom of movement', 'Cultural rights', 'Ratification of & accession to international instruments']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Ratification of & accession to international instruments', '2030 Agenda & other voluntary commitments', 'Human rights & climate change']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Human rights defenders & activists', 'Judges, lawyers and prosecutors', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Equality & non-discrimination', 'Cultural rights', 'Legal & institutional reform', 'National Human Rights Institution (NHRI)']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups', 'Non-citizens']","['Equality & non-discrimination', 'Rights related to name, identity & nationality', 'Cultural rights', 'Freedom of thought, conscience & religion']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Freedom of thought, conscience & religion', 'Constitutional & legislative framework', ' Scope of international obligations']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Freedom of thought, conscience & religion', 'Freedom of opinion and expression & access to information']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Persons deprived of their liberty & detainees'],"['Cultural rights', 'Cooperation & Follow up with Treaty Bodies', 'Constitutional & legislative framework', 'Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Cooperation & Follow up with Treaty Bodies', 'Cooperation with human rights mechanisms & requests for technical assistance', 'Cooperation & follow up with the Universal Periodic Review (UPR)', 'Cooperation & Follow up with Special Procedures']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Freedom of association', 'Trade union rights']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Good governance & corruption', 'Human rights & the environment', 'Human rights & climate change', 'Data collection & research']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Business & Human Rights', 'Cultural rights', 'Human rights & the environment', 'Cooperation & Follow up with Special Procedures']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Disappeared persons', 'Persons affected by armed conflict']","['Rule of law & impunity', 'Cultural rights', 'Good governance & corruption', 'Administration of justice & fair trial', 'Legal & institutional reform', 'Support to victims & witnesses', 'Access to justice & remedy', 'Enforced disappearances', 'Transitional justice', 'Extrajudicial, summary or arbitrary executions']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Migrants', 'Lesbian, gay, bisexual and transgender and intersex persons (LGBTI)', 'Vulnerable persons/groups', 'Women & girls', 'Persons with disabilities']","['Equality & non-discrimination', 'Cultural rights', 'Cooperation & Follow up with Treaty Bodies', 'Racial discrimination', 'Constitutional & legislative framework', 'Discrimination against women', ' Scope of international obligations']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Women & girls', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Violence against women', 'Cultural rights', 'Advancement of women', 'Cooperation & Follow up with Treaty Bodies', 'Freedom of thought, conscience & religion', 'Sexual & gender-based violence', ' Participation of women in political & public life\xa0', 'Discrimination against women', 'Sexual & reproductive health and rights', ' Scope of international obligations']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Women & girls', 'Persons with disabilities']","['Equality & non-discrimination', 'Cultural rights', 'Support to victims & witnesses', 'Discrimination against women']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Women & girls'],"['Equality & non-discrimination', 'Cultural rights', 'Rights related to marriage & family', 'Discrimination against women', 'Land & property rights']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Women & girls'],"['Cultural rights', 'Human rights education, trainings & awareness raising', 'Constitutional & legislative framework', 'Data collection & research', 'Discrimination against women', 'Land & property rights']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Lesbian, gay, bisexual and transgender and intersex persons (LGBTI)', 'Women & girls']","['Cultural rights', 'Constitutional & legislative framework', 'Sexual & gender-based violence', 'Discrimination against women', 'Sexual & reproductive health and rights']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups', 'Non-citizens']","['Cultural rights', 'Legal & institutional reform', 'Freedom of thought, conscience & religion', 'Constitutional & legislative framework']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Equality & non-discrimination', 'Cultural rights', 'Freedom of thought, conscience & religion', 'Constitutional & legislative framework']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Women & girls', 'Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Equality & non-discrimination', 'Cultural rights', 'Freedom of thought, conscience & religion', 'Freedom of opinion and expression & access to information']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Children', 'Educational staff & students']","['Cultural rights', 'Human rights education, trainings & awareness raising', ' Scope of international obligations', 'Right to education']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['Disappeared persons'],"['Rule of law & impunity', 'Cultural rights', 'Administration of justice & fair trial', 'Support to victims & witnesses', 'Access to justice & remedy', 'Enforced disappearances', 'Transitional justice']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Rule of law & impunity', 'Cultural rights', 'Freedom of thought, conscience & religion', ' Scope of international obligations']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Legal & institutional reform', ' Scope of international obligations']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Data collection & research']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Cooperation & consultation with civil society', 'Human rights & the environment']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Minorities/ racial, ethnic, linguistic, religious or descent-based groups']","['Cultural rights', 'Human rights education, trainings & awareness raising', 'Freedom of thought, conscience & religion', 'Freedom of opinion and expression & access to information', 'Right to education']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,['not provided'],"['Cultural rights', 'Human rights & climate change', 'Data collection & research', 'Research & other measures of implementation']",['Recommendations']
 A/HRC/43/50/Add.2 (SR Cultural rights 2021 ) ,['Maldives'],not provided,"['Human rights defenders & activists', 'Civil society']","['Cultural rights', 'Cooperation & consultation with civil society', 'Human rights & the environment', 'Human rights & climate change']",['Recommendations']
