un-mechanism-code,un-mechanism,year,country,concerned-group,human-rights-theme,annotaion-type,term
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,"International criminal & humanitarian law (including crimes against humanity, war crimes, genocide)",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Legal & institutional reform,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Cooperation & consultation with civil society,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,"Human rights education, trainings & awareness raising",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,National Human Rights Action Plans (or specific areas) / implementation plans,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Racial discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,"International criminal & humanitarian law (including crimes against humanity, war crimes, genocide)",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Equality & non-discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Cultural rights,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Legal & institutional reform,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Cooperation & consultation with civil society,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,"Human rights education, trainings & awareness raising",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,National Human Rights Action Plans (or specific areas) / implementation plans,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Racial discrimination,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Constitutional & legislative framework,Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,"International criminal & humanitarian law (including crimes against humanity, war crimes, genocide)",Concerns/Observations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials,"Economic, social & cultural rights - general measures of implementation",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials,Good governance & corruption,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials,Cooperation & Follow up with Treaty Bodies,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials, Civil & political rights - general measures of implementation,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials,Data collection & research,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials, Scope of international obligations,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Law enforcement / police & prison officials,Freedom of opinion and expression & access to information,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials,"Economic, social & cultural rights - general measures of implementation",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials,Good governance & corruption,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials,Cooperation & Follow up with Treaty Bodies,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials, Civil & political rights - general measures of implementation,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials,Data collection & research,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials, Scope of international obligations,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Public officials,Freedom of opinion and expression & access to information,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,"Economic, social & cultural rights - general measures of implementation",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Good governance & corruption,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Cooperation & Follow up with Treaty Bodies,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups, Civil & political rights - general measures of implementation,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Data collection & research,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups, Scope of international obligations,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Freedom of opinion and expression & access to information,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,"Economic, social & cultural rights - general measures of implementation",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Good governance & corruption,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Cooperation & Follow up with Treaty Bodies,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media, Civil & political rights - general measures of implementation,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Data collection & research,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media, Scope of international obligations,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Freedom of opinion and expression & access to information,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges,"Economic, social & cultural rights - general measures of implementation",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges,Good governance & corruption,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges,Cooperation & Follow up with Treaty Bodies,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges, Civil & political rights - general measures of implementation,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges,Data collection & research,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges, Scope of international obligations,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Judges,Freedom of opinion and expression & access to information,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers,"Economic, social & cultural rights - general measures of implementation",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers,Good governance & corruption,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers,Cooperation & Follow up with Treaty Bodies,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers, Civil & political rights - general measures of implementation,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers,Data collection & research,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers, Scope of international obligations,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,lawyers,Freedom of opinion and expression & access to information,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors,"Economic, social & cultural rights - general measures of implementation",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors,Good governance & corruption,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors,Cooperation & Follow up with Treaty Bodies,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors, Civil & political rights - general measures of implementation,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors,Data collection & research,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors, Scope of international obligations,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,prosecutors,Freedom of opinion and expression & access to information,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,"Economic, social & cultural rights - general measures of implementation",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Good governance & corruption,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Cooperation & Follow up with Treaty Bodies,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial, Civil & political rights - general measures of implementation,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Data collection & research,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial, Scope of international obligations,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Freedom of opinion and expression & access to information,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,"Economic, social & cultural rights - general measures of implementation",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Good governance & corruption,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Cooperation & Follow up with Treaty Bodies,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic, Civil & political rights - general measures of implementation,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Data collection & research,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic, Scope of international obligations,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,ethnic,Freedom of opinion and expression & access to information,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,"Economic, social & cultural rights - general measures of implementation",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Good governance & corruption,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Cooperation & Follow up with Treaty Bodies,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic, Civil & political rights - general measures of implementation,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Data collection & research,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic, Scope of international obligations,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,linguistic,Freedom of opinion and expression & access to information,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,"Economic, social & cultural rights - general measures of implementation",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Good governance & corruption,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Cooperation & Follow up with Treaty Bodies,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups, Civil & political rights - general measures of implementation,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Data collection & research,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups, Scope of international obligations,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,religious or descent-based groups,Freedom of opinion and expression & access to information,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Refugees & asylum seekers,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Refugees & asylum seekers,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Refugees & asylum seekers,Legal & institutional reform,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Refugees & asylum seekers,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Refugees & asylum seekers,Racial discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Refugees & asylum seekers,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Refugees & asylum seekers,Ratification of & accession to international instruments,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Refugees & asylum seekers,Right to participate in public affairs & right to vote,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Refugees & asylum seekers, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Refugees & asylum seekers,Discrimination against women,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Migrants,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Migrants,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Migrants,Legal & institutional reform,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Migrants,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Migrants,Racial discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Migrants,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Migrants,Ratification of & accession to international instruments,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Migrants,Right to participate in public affairs & right to vote,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Migrants, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Migrants,Discrimination against women,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Educational staff & students,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Educational staff & students,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Educational staff & students,Legal & institutional reform,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Educational staff & students,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Educational staff & students,Racial discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Educational staff & students,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Educational staff & students,Ratification of & accession to international instruments,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Educational staff & students,Right to participate in public affairs & right to vote,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Educational staff & students, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Educational staff & students,Discrimination against women,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Legal & institutional reform,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Racial discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Ratification of & accession to international instruments,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Right to participate in public affairs & right to vote,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Vulnerable persons/groups,Discrimination against women,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Women & girls,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Women & girls,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Women & girls,Legal & institutional reform,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Women & girls,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Women & girls,Racial discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Women & girls,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Women & girls,Ratification of & accession to international instruments,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Women & girls,Right to participate in public affairs & right to vote,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Women & girls, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Women & girls,Discrimination against women,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Equality & non-discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Cultural rights,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Legal & institutional reform,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,"Human rights education, trainings & awareness raising",Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Racial discrimination,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Constitutional & legislative framework,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Ratification of & accession to international instruments,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Right to participate in public affairs & right to vote,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media, Participation of women in political & public life ,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Media,Discrimination against women,Recommendations,not provided
A/H,Committee on the Rights of the Child, 2024,Germany,Minorities/ racial,Equality & non-discrimination,Recommendations,not provided
