un-mechanism-code,un-mechanism,year,country,concerned-group,human-rights-theme,annotaion-type,term
CAT,Committee against Torture, 2024,Republic of Korea,Children,Right to health,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Conditions of detention,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Rule of law & impunity,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Children: juvenile justice,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Administration of justice & fair trial,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Private life & privacy,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Access to justice & remedy,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Right to health,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Conditions of detention,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Rule of law & impunity,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Children: juvenile justice,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Administration of justice & fair trial,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Private life & privacy,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Access to justice & remedy,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Right to health,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Conditions of detention,Concerns/Observations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Rule of law & impunity,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Children: juvenile justice,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Administration of justice & fair trial,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Private life & privacy,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Right to health,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Conditions of detention,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Rule of law & impunity,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Children: juvenile justice,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Administration of justice & fair trial,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Private life & privacy,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Right to health,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Children,Conditions of detention,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Rule of law & impunity,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Children: juvenile justice,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Administration of justice & fair trial,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Private life & privacy,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Right to health,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Conditions of detention,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Rule of law & impunity,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Children: juvenile justice,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Administration of justice & fair trial,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Private life & privacy,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Right to health,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Youth & juveniles,Conditions of detention,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Rule of law & impunity,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Children: juvenile justice,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Administration of justice & fair trial,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Private life & privacy,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Right to health,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Conditions of detention,Recommendations,Fundamental legal safeguards
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Constitutional & legislative framework,Concerns/Observations,National human rights institution
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Ratification of & accession to international instruments,Concerns/Observations,National human rights institution
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,National Human Rights Institution (NHRI),Concerns/Observations,National human rights institution
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Conditions of detention,Concerns/Observations,National human rights institution
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,National Preventive Mechanism (NPM),Concerns/Observations,National human rights institution
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Private life & privacy,Recommendations,National human rights institution
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Constitutional & legislative framework,Recommendations,National human rights institution
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Ratification of & accession to international instruments,Recommendations,National human rights institution
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,National Human Rights Institution (NHRI),Recommendations,National human rights institution
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Conditions of detention,Recommendations,National human rights institution
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Rule of law & impunity,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Right to life,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Labour rights and right to work,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Right to health,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Conditions of detention,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Right to an adequate standard of living,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons living in rural areas,Rule of law & impunity,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons living in rural areas,Right to life,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons living in rural areas,Labour rights and right to work,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons living in rural areas,Right to health,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons living in rural areas,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons living in rural areas,Conditions of detention,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons living in rural areas,Right to an adequate standard of living,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Rule of law & impunity,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Right to life,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Labour rights and right to work,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Right to health,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Conditions of detention,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Right to an adequate standard of living,Concerns/Observations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Rule of law & impunity,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Legal & institutional reform,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Right to life,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,National Human Rights Action Plans (or specific areas) / implementation plans,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Right to health,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Constitutional & legislative framework,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Independent Monitoring Mechanism (IMM),Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Conditions of detention,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Budget & resources (for human rights implementation),Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Right to an adequate standard of living,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Rule of law & impunity,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Legal & institutional reform,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Right to life,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,National Human Rights Action Plans (or specific areas) / implementation plans,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Right to health,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Constitutional & legislative framework,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Independent Monitoring Mechanism (IMM),Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Conditions of detention,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Budget & resources (for human rights implementation),Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Medical staff / health professionals,Right to an adequate standard of living,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Rule of law & impunity,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Legal & institutional reform,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Right to life,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,National Human Rights Action Plans (or specific areas) / implementation plans,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Right to health,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Constitutional & legislative framework,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Independent Monitoring Mechanism (IMM),Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Conditions of detention,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Budget & resources (for human rights implementation),Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Right to an adequate standard of living,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons with disabilities,Rule of law & impunity,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons with disabilities,Legal & institutional reform,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons with disabilities,Right to life,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons with disabilities,National Human Rights Action Plans (or specific areas) / implementation plans,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons with disabilities,Right to health,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons with disabilities,Constitutional & legislative framework,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons with disabilities,Independent Monitoring Mechanism (IMM),Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons with disabilities,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons with disabilities,Conditions of detention,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons with disabilities,Budget & resources (for human rights implementation),Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,Persons with disabilities,Right to an adequate standard of living,Recommendations,Conditions of detention
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Arbitrary arrest & detention,Concerns/Observations,National Security Act
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Legal & institutional reform,Concerns/Observations,National Security Act
CAT,Committee against Torture, 2024,Republic of Korea,not provided, Human rights & counter-terrorism,Concerns/Observations,National Security Act
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Constitutional & legislative framework,Concerns/Observations,National Security Act
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Arbitrary arrest & detention,Recommendations,National Security Act
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Legal & institutional reform,Recommendations,National Security Act
CAT,Committee against Torture, 2024,Republic of Korea,not provided, Human rights & counter-terrorism,Recommendations,National Security Act
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Constitutional & legislative framework,Recommendations,National Security Act
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Rule of law & impunity,Concerns/Observations,Death penalty
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Death penalty,Concerns/Observations,Death penalty
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Right to life,Concerns/Observations,Death penalty
CAT,Committee against Torture, 2024,Republic of Korea,not provided,Constitutional & legislative framework,Concerns/Observations,Death penalty
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Equality & non-discrimination,Recommendations,Death penalty
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Rule of law & impunity,Recommendations,Death penalty
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Death penalty,Recommendations,Death penalty
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Right to life,Recommendations,Death penalty
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Constitutional & legislative framework,Recommendations,Death penalty
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Ratification of & accession to international instruments,Recommendations,Death penalty
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Rule of law & impunity,Concerns/Observations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Concerns/Observations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,National Human Rights Institution (NHRI),Concerns/Observations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Conditions of detention,Concerns/Observations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Rule of law & impunity,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Administration of justice & fair trial,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Legal & institutional reform,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Support to victims & witnesses,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,"Human rights education, trainings & awareness raising",Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Access to justice & remedy,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Data collection & research,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Law enforcement / police & prison officials,Conditions of detention,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Rule of law & impunity,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Administration of justice & fair trial,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Legal & institutional reform,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Support to victims & witnesses,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,"Human rights education, trainings & awareness raising",Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Access to justice & remedy,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,"Prohibition of torture & ill-treatment (including cruel, inhuman or degrading treatment)",Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Data collection & research,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Public officials,Conditions of detention,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Rule of law & impunity,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Administration of justice & fair trial,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Legal & institutional reform,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Support to victims & witnesses,Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,"Human rights education, trainings & awareness raising",Recommendations,Investigation into allegations of torture and independent complaint mechanism
CAT,Committee against Torture, 2024,Republic of Korea,Persons deprived of their liberty & detainees,Access to justice & remedy,Recommendations,Investigation into allegations of torture and independent complaint mechanism
